จังหวัด,อำเภอ,ตำบล,รหัส อปท.,ประเภท อปท.,อปท.,ที่ตั้งสำนักงานเลขที่,หมู่ที่,รหัสไปรษณีย์,ขนาดพื้นที่,LAT,LONG,เว็ปไซต์ของอปท
กระบี่,คลองท่อม,คลองท่อมเหนือ,5810401,เทศบาลตำบล,คลองท่อมใต้,-,2,81120,2.7,7.952981685,99.15039092,http://www.khlongthomcity.go.th/
กระบี่,คลองท่อม,คลองท่อมใต้,5810401,เทศบาลตำบล,คลองท่อมใต้,-,2,81120,2.7,7.952981685,99.15039092,http://www.khlongthomcity.go.th/
กระบี่,คลองท่อม,เพหลา,5810401,เทศบาลตำบล,คลองท่อมใต้,-,2,81120,2.7,7.952981685,99.15039092,http://www.khlongthomcity.go.th/
กระบี่,คลองท่อม,ห้วยน้ำขาว,5810401,เทศบาลตำบล,คลองท่อมใต้,-,2,81120,2.7,7.952981685,99.15039092,http://www.khlongthomcity.go.th/
กระบี่,คลองท่อม,พรุดินนา,5810401,เทศบาลตำบล,คลองท่อมใต้,-,2,81120,2.7,7.952981685,99.15039092,http://www.khlongthomcity.go.th/
กระบี่,คลองท่อม,ทรายขาว,5810401,เทศบาลตำบล,คลองท่อมใต้,-,2,81120,2.7,7.952981685,99.15039092,http://www.khlongthomcity.go.th/
กระบี่,คลองท่อม,คลองพน,5810401,เทศบาลตำบล,คลองท่อมใต้,-,2,81120,2.7,7.952981685,99.15039092,http://www.khlongthomcity.go.th/
กระบี่,คลองท่อม,คลองท่อมใต้,5810402,เทศบาลตำบล,คลองพน,399,1,81170,7.65,7.807166758,99.203614,www.Khlongphon go.th
กระบี่,คลองท่อม,คลองท่อมเหนือ,5810402,เทศบาลตำบล,คลองพน,399,1,81170,7.65,7.807166758,99.203614,www.Khlongphon go.th
กระบี่,คลองท่อม,ทรายขาว,5810402,เทศบาลตำบล,คลองพน,399,1,81170,7.65,7.807166758,99.203614,www.Khlongphon go.th
กระบี่,คลองท่อม,พรุดินนา,5810402,เทศบาลตำบล,คลองพน,399,1,81170,7.65,7.807166758,99.203614,www.Khlongphon go.th
กระบี่,คลองท่อม,ห้วยน้ำขาว,5810402,เทศบาลตำบล,คลองพน,399,1,81170,7.65,7.807166758,99.203614,www.Khlongphon go.th
กระบี่,คลองท่อม,เพหลา,5810402,เทศบาลตำบล,คลองพน,399,1,81170,7.65,7.807166758,99.203614,www.Khlongphon go.th
กระบี่,คลองท่อม,คลองพน,5810402,เทศบาลตำบล,คลองพน,399,1,81170,7.65,7.807166758,99.203614,www.Khlongphon go.th
กระบี่,คลองท่อม,ห้วยน้ำขาว,5810404,เทศบาลตำบล,คลองพนพัฒนา,,,,,,,
กระบี่,คลองท่อม,พรุดินนา,5810404,เทศบาลตำบล,คลองพนพัฒนา,,,,,,,
กระบี่,คลองท่อม,ทรายขาว,5810404,เทศบาลตำบล,คลองพนพัฒนา,,,,,,,
กระบี่,คลองท่อม,คลองพน,5810404,เทศบาลตำบล,คลองพนพัฒนา,,,,,,,
กระบี่,คลองท่อม,คลองท่อมใต้,5810404,เทศบาลตำบล,คลองพนพัฒนา,,,,,,,
กระบี่,คลองท่อม,คลองท่อมเหนือ,5810404,เทศบาลตำบล,คลองพนพัฒนา,,,,,,,
กระบี่,คลองท่อม,เพหลา,5810404,เทศบาลตำบล,คลองพนพัฒนา,,,,,,,
กระบี่,คลองท่อม,ทรายขาว,5810405,เทศบาลตำบล,ทรายขาว,,,,,,,
กระบี่,คลองท่อม,พรุดินนา,5810405,เทศบาลตำบล,ทรายขาว,,,,,,,
กระบี่,คลองท่อม,คลองท่อมใต้,5810405,เทศบาลตำบล,ทรายขาว,,,,,,,
กระบี่,คลองท่อม,ห้วยน้ำขาว,5810405,เทศบาลตำบล,ทรายขาว,,,,,,,
กระบี่,คลองท่อม,เพหลา,5810405,เทศบาลตำบล,ทรายขาว,,,,,,,
กระบี่,คลองท่อม,คลองท่อมเหนือ,5810405,เทศบาลตำบล,ทรายขาว,,,,,,,
กระบี่,คลองท่อม,คลองพน,5810405,เทศบาลตำบล,ทรายขาว,,,,,,,
กระบี่,คลองท่อม,คลองท่อมเหนือ,5810407,เทศบาลตำบล,ห้วยน้ำขาว,99,7,81120,109.73,7.87,99.13,www.huaynamkhaw.go.th
กระบี่,คลองท่อม,เพหลา,5810407,เทศบาลตำบล,ห้วยน้ำขาว,99,7,81120,109.73,7.87,99.13,www.huaynamkhaw.go.th
กระบี่,คลองท่อม,คลองท่อมใต้,5810407,เทศบาลตำบล,ห้วยน้ำขาว,99,7,81120,109.73,7.87,99.13,www.huaynamkhaw.go.th
กระบี่,คลองท่อม,คลองพน,5810407,เทศบาลตำบล,ห้วยน้ำขาว,99,7,81120,109.73,7.87,99.13,www.huaynamkhaw.go.th
กระบี่,คลองท่อม,ทรายขาว,5810407,เทศบาลตำบล,ห้วยน้ำขาว,99,7,81120,109.73,7.87,99.13,www.huaynamkhaw.go.th
กระบี่,คลองท่อม,พรุดินนา,5810407,เทศบาลตำบล,ห้วยน้ำขาว,99,7,81120,109.73,7.87,99.13,www.huaynamkhaw.go.th
กระบี่,คลองท่อม,ห้วยน้ำขาว,5810407,เทศบาลตำบล,ห้วยน้ำขาว,99,7,81120,109.73,7.87,99.13,www.huaynamkhaw.go.th
กระบี่,คลองท่อม,ทรายขาว,6810403,อบต.,คลองท่อมเหนือ,164/1,4,81120,176.34,,,khlongthomnuea.go.th
กระบี่,คลองท่อม,พรุดินนา,6810403,อบต.,คลองท่อมเหนือ,164/1,4,81120,176.34,,,khlongthomnuea.go.th
กระบี่,คลองท่อม,ห้วยน้ำขาว,6810403,อบต.,คลองท่อมเหนือ,164/1,4,81120,176.34,,,khlongthomnuea.go.th
กระบี่,คลองท่อม,เพหลา,6810403,อบต.,คลองท่อมเหนือ,164/1,4,81120,176.34,,,khlongthomnuea.go.th
กระบี่,คลองท่อม,คลองพน,6810403,อบต.,คลองท่อมเหนือ,164/1,4,81120,176.34,,,khlongthomnuea.go.th
กระบี่,คลองท่อม,คลองท่อมใต้,6810403,อบต.,คลองท่อมเหนือ,164/1,4,81120,176.34,,,khlongthomnuea.go.th
กระบี่,คลองท่อม,คลองท่อมเหนือ,6810403,อบต.,คลองท่อมเหนือ,164/1,4,81120,176.34,,,khlongthomnuea.go.th
กระบี่,คลองท่อม,คลองท่อมเหนือ,6810408,อบต.,คลองท่อมใต้,99,2,81120,,7.944773,99.152228,
กระบี่,คลองท่อม,คลองท่อมใต้,6810408,อบต.,คลองท่อมใต้,99,2,81120,,7.944773,99.152228,
กระบี่,คลองท่อม,คลองพน,6810408,อบต.,คลองท่อมใต้,99,2,81120,,7.944773,99.152228,
กระบี่,คลองท่อม,ทรายขาว,6810408,อบต.,คลองท่อมใต้,99,2,81120,,7.944773,99.152228,
กระบี่,คลองท่อม,พรุดินนา,6810408,อบต.,คลองท่อมใต้,99,2,81120,,7.944773,99.152228,
กระบี่,คลองท่อม,เพหลา,6810408,อบต.,คลองท่อมใต้,99,2,81120,,7.944773,99.152228,
กระบี่,คลองท่อม,ห้วยน้ำขาว,6810408,อบต.,คลองท่อมใต้,99,2,81120,,7.944773,99.152228,
กระบี่,คลองท่อม,ทรายขาว,6810406,อบต.,พรุดินนา,35/13,2,81120,158,,,https://www.prudinna.go.th
กระบี่,คลองท่อม,เพหลา,6810406,อบต.,พรุดินนา,35/13,2,81120,158,,,https://www.prudinna.go.th
กระบี่,คลองท่อม,ห้วยน้ำขาว,6810406,อบต.,พรุดินนา,35/13,2,81120,158,,,https://www.prudinna.go.th
กระบี่,คลองท่อม,พรุดินนา,6810406,อบต.,พรุดินนา,35/13,2,81120,158,,,https://www.prudinna.go.th
กระบี่,คลองท่อม,คลองพน,6810406,อบต.,พรุดินนา,35/13,2,81120,158,,,https://www.prudinna.go.th
กระบี่,คลองท่อม,คลองท่อมใต้,6810406,อบต.,พรุดินนา,35/13,2,81120,158,,,https://www.prudinna.go.th
กระบี่,คลองท่อม,คลองท่อมเหนือ,6810406,อบต.,พรุดินนา,35/13,2,81120,158,,,https://www.prudinna.go.th
กระบี่,คลองท่อม,คลองท่อมเหนือ,6810409,อบต.,เพหลา,214,3,81120,0.05,8.082418697,99.14359689,www.phala.go.th
กระบี่,คลองท่อม,คลองท่อมใต้,6810409,อบต.,เพหลา,214,3,81120,0.05,8.082418697,99.14359689,www.phala.go.th
กระบี่,คลองท่อม,คลองพน,6810409,อบต.,เพหลา,214,3,81120,0.05,8.082418697,99.14359689,www.phala.go.th
กระบี่,คลองท่อม,ทรายขาว,6810409,อบต.,เพหลา,214,3,81120,0.05,8.082418697,99.14359689,www.phala.go.th
กระบี่,คลองท่อม,เพหลา,6810409,อบต.,เพหลา,214,3,81120,0.05,8.082418697,99.14359689,www.phala.go.th
กระบี่,คลองท่อม,ห้วยน้ำขาว,6810409,อบต.,เพหลา,214,3,81120,0.05,8.082418697,99.14359689,www.phala.go.th
กระบี่,คลองท่อม,พรุดินนา,6810409,อบต.,เพหลา,214,3,81120,0.05,8.082418697,99.14359689,www.phala.go.th
กระบี่,ปลายพระยา,ปลายพระยา,5810601,เทศบาลตำบล,ปลายพระยา,122/3,,81160,12.5,,,
กระบี่,ปลายพระยา,เขาต่อ,5810601,เทศบาลตำบล,ปลายพระยา,122/3,,81160,12.5,,,
กระบี่,ปลายพระยา,คีรีวง,5810601,เทศบาลตำบล,ปลายพระยา,122/3,,81160,12.5,,,
กระบี่,ปลายพระยา,เขาเขน,5810601,เทศบาลตำบล,ปลายพระยา,122/3,,81160,12.5,,,
กระบี่,ปลายพระยา,เขาเขน,6810604,อบต.,คีรีวง,-,2,81160,94,,,http://www.kiriwong.go.th/
กระบี่,ปลายพระยา,เขาต่อ,6810604,อบต.,คีรีวง,-,2,81160,94,,,http://www.kiriwong.go.th/
กระบี่,ปลายพระยา,คีรีวง,6810604,อบต.,คีรีวง,-,2,81160,94,,,http://www.kiriwong.go.th/
กระบี่,ปลายพระยา,ปลายพระยา,6810604,อบต.,คีรีวง,-,2,81160,94,,,http://www.kiriwong.go.th/
กระบี่,ปลายพระยา,เขาเขน,6810602,อบต.,ปลายพระยา,,,,,,,
กระบี่,ปลายพระยา,ปลายพระยา,6810602,อบต.,ปลายพระยา,,,,,,,
กระบี่,ปลายพระยา,คีรีวง,6810602,อบต.,ปลายพระยา,,,,,,,
กระบี่,ปลายพระยา,เขาต่อ,6810602,อบต.,ปลายพระยา,,,,,,,
กระบี่,ปลายพระยา,ปลายพระยา,6810603,อบต.,เขาต่อ,,,,,,,
กระบี่,ปลายพระยา,คีรีวง,6810603,อบต.,เขาต่อ,,,,,,,
กระบี่,ปลายพระยา,เขาต่อ,6810603,อบต.,เขาต่อ,,,,,,,
กระบี่,ปลายพระยา,เขาเขน,6810603,อบต.,เขาต่อ,,,,,,,
กระบี่,ปลายพระยา,คีรีวง,6810605,อบต.,เขาเขน,399,3,81160,116,8.556438919,98.81153029,www.khaokhen.go.th
กระบี่,ปลายพระยา,ปลายพระยา,6810605,อบต.,เขาเขน,399,3,81160,116,8.556438919,98.81153029,www.khaokhen.go.th
กระบี่,ปลายพระยา,เขาต่อ,6810605,อบต.,เขาเขน,399,3,81160,116,8.556438919,98.81153029,www.khaokhen.go.th
กระบี่,ปลายพระยา,เขาเขน,6810605,อบต.,เขาเขน,399,3,81160,116,8.556438919,98.81153029,www.khaokhen.go.th
กระบี่,ลำทับ,ลำทับ,5810701,เทศบาลตำบล,ลำทับ,842,5,81190,8.11,8.03,99.32,
กระบี่,ลำทับ,ทุ่งไทรทอง,5810701,เทศบาลตำบล,ลำทับ,842,5,81190,8.11,8.03,99.32,
กระบี่,ลำทับ,ดินแดง,5810701,เทศบาลตำบล,ลำทับ,842,5,81190,8.11,8.03,99.32,
กระบี่,ลำทับ,ดินอุดม,5810701,เทศบาลตำบล,ลำทับ,842,5,81190,8.11,8.03,99.32,
กระบี่,ลำทับ,ทุ่งไทรทอง,6810705,อบต.,ดินอุดม,99,7,81190,72,8.099828213,99.34959054,
